train_loss,train_acc,epoch,step,test_loss,test_acc
0.8936971426010132,0.8026666641235352,0,234,,
0.31331074237823486,0.9203000068664551,1,469,,
0.22291140258312225,0.939633309841156,2,704,,
0.17695362865924835,0.9514333605766296,3,939,,
0.14568795263767242,0.9596999883651733,4,1174,,
0.12204285711050034,0.9664333462715149,5,1409,,
0.1031934842467308,0.9722333550453186,6,1644,,
0.08771218359470367,0.9772999882698059,7,1879,,
0.07473040372133255,0.9811333417892456,8,2114,,
0.06368185579776764,0.9844666719436646,9,2349,,
0.0542021170258522,0.9879000186920166,10,2584,,
0.04602548107504845,0.9904000163078308,11,2819,,
0.038956671953201294,0.9922333359718323,12,3054,,
0.03286359831690788,0.9939000010490417,13,3289,,
0.027646834030747414,0.9955666661262512,14,3524,,
0.02320493943989277,0.9966999888420105,15,3759,,
0.019448213279247284,0.9976333379745483,16,3994,,
0.0162905715405941,0.9981666803359985,17,4229,,
0.013637080788612366,0.9988333582878113,18,4464,,
0.01141576748341322,0.9991000294685364,19,4699,,
0.009557546116411686,0.9992666840553284,20,4934,,
0.007992438040673733,0.9993666410446167,21,5169,,
0.006673011928796768,0.999666690826416,22,5404,,
0.005571510177105665,0.9997333288192749,23,5639,,
0.004648411180824041,0.9998000264167786,24,5874,,
0.0038710562512278557,0.999833345413208,25,6109,,
0.0032202883157879114,0.9998666644096375,26,6344,,
0.0026820264756679535,0.9998999834060669,27,6579,,
0.002240450121462345,0.9999333620071411,28,6814,,
0.0018821773119270802,0.9999666810035706,29,7049,,
0.0015902873128652573,1.0,30,7284,,
0.0013501873472705483,1.0,31,7519,,
0.0011508878087624907,1.0,32,7754,,
0.0009843740845099092,1.0,33,7989,,
0.0008445242419838905,1.0,34,8224,,
0.0007264344021677971,1.0,35,8459,,
0.0006262844544835389,1.0,36,8694,,
0.0005410406738519669,1.0,37,8929,,
0.00046823234879411757,1.0,38,9164,,
0.00040584764792583883,1.0,39,9399,,
0.00035224619205109775,1.0,40,9634,,
0.0003060818125959486,1.0,41,9869,,
0.0002662407059688121,1.0,42,10104,,
0.00023179646814242005,1.0,43,10339,,
0.0002019732928602025,1.0,44,10574,,
0.00017611701332498342,1.0,45,10809,,
0.00015367098967544734,1.0,46,11044,,
0.00013416766887530684,1.0,47,11279,,
0.0001172029587905854,1.0,48,11514,,
0.0001024338198476471,1.0,49,11749,,
8.956605597632006e-05,1.0,50,11984,,
7.834796269889921e-05,1.0,51,12219,,
6.856123945908621e-05,1.0,52,12454,,
6.0019854572601616e-05,1.0,53,12689,,
5.256126314634457e-05,1.0,54,12924,,
4.604453715728596e-05,1.0,55,13159,,
4.034882294945419e-05,1.0,56,13394,,
3.536856092978269e-05,1.0,57,13629,,
3.10110735881608e-05,1.0,58,13864,,
2.7198033421882428e-05,1.0,59,14099,,
2.386082815064583e-05,1.0,60,14334,,
2.0938401576131582e-05,1.0,61,14569,,
1.837917989178095e-05,1.0,62,14804,,
1.613645872566849e-05,1.0,63,15039,,
1.4170996109896805e-05,1.0,64,15274,,
1.244802388100652e-05,1.0,65,15509,,
1.093722130462993e-05,1.0,66,15744,,
9.611832865630277e-06,1.0,67,15979,,
8.45008162286831e-06,1.0,68,16214,,
7.429860488628037e-06,1.0,69,16449,,
6.5343265305273235e-06,1.0,70,16684,,
5.748781404690817e-06,1.0,71,16919,,
5.058837814431172e-06,1.0,72,17154,,
4.452912435226608e-06,1.0,73,17389,,
3.920723429473583e-06,1.0,74,17624,,
3.4532349673099816e-06,1.0,75,17859,,
3.042368007299956e-06,1.0,76,18094,,
2.681146042959881e-06,1.0,77,18329,,
2.364057081649662e-06,1.0,78,18564,,
2.084977040794911e-06,1.0,79,18799,,
1.8397499843558762e-06,1.0,80,19034,,
1.6237443105637794e-06,1.0,81,19269,,
1.4338286291604163e-06,1.0,82,19504,,
1.2668035651586251e-06,1.0,83,19739,,
1.1193837963219266e-06,1.0,84,19974,,
9.89757268143876e-07,1.0,85,20209,,
8.758663625485497e-07,1.0,86,20444,,
7.75079740833462e-07,1.0,87,20679,,
6.866789021842123e-07,1.0,88,20914,,
6.085614927542338e-07,1.0,89,21149,,
5.396273081714753e-07,1.0,90,21384,,
4.787235639014398e-07,1.0,91,21619,,
4.248850302701612e-07,1.0,92,21854,,
3.7763865634588e-07,1.0,93,22089,,
3.356254012487625e-07,1.0,94,22324,,
2.987461584780249e-07,1.0,95,22559,,
2.660470954651828e-07,1.0,96,22794,,
2.369203713215029e-07,1.0,97,23029,,
2.1119502946476132e-07,1.0,98,23264,,
1.885333773543607e-07,1.0,99,23499,,
1.6856185425240255e-07,1.0,100,23734,,
1.504976978594641e-07,1.0,101,23969,,
1.3471041881985002e-07,1.0,102,24204,,
1.206795019470519e-07,1.0,103,24439,,
1.0810691009055517e-07,1.0,104,24674,,
9.697674130393352e-08,1.0,105,24909,,
8.715389299140952e-08,1.0,106,25144,,
7.858672290694813e-08,1.0,107,25379,,
7.065533935701751e-08,1.0,108,25614,,
6.365775107042282e-08,1.0,109,25849,,
5.732774255307049e-08,1.0,110,26084,,
5.174874928570716e-08,1.0,111,26319,,
4.680951093405383e-08,1.0,112,26554,,
4.233916328644227e-08,1.0,113,26789,,
3.8448966677151475e-08,1.0,114,27024,,
3.495215850080058e-08,1.0,115,27259,,
3.172159068753899e-08,1.0,116,27494,,
2.8840698718113345e-08,1.0,117,27729,,
2.6281671949845986e-08,1.0,118,27964,,
2.401272247709585e-08,1.0,119,28199,,
2.197027093586712e-08,1.0,120,28434,,
2.0047027149416863e-08,1.0,121,28669,,
1.831054419199063e-08,1.0,122,28904,,
1.6804534652692382e-08,1.0,123,29139,,
1.5370050121532586e-08,1.0,124,29374,,
1.4197825137785003e-08,1.0,125,29609,,
1.3136863152851674e-08,1.0,126,29844,,
1.2175241259626546e-08,1.0,127,30079,,
1.1245409048399324e-08,1.0,128,30314,,
1.0410943218630564e-08,1.0,129,30549,,
9.711582649174488e-09,1.0,130,30784,,
9.0440108735379e-09,1.0,131,31019,,
8.483726610108988e-09,1.0,132,31254,,
8.006890261924582e-09,1.0,133,31489,,
7.502237053813587e-09,1.0,134,31724,,
7.204214114153729e-09,1.0,135,31959,,
6.898243753994393e-09,1.0,136,32194,,
6.548563025177145e-09,1.0,137,32429,,
6.326039247994686e-09,1.0,138,32664,,
6.063778812404053e-09,1.0,139,32899,,
5.940595571019003e-09,1.0,140,33134,,
5.698203686677061e-09,1.0,141,33369,,
5.606809683200709e-09,1.0,142,33604,,
5.451837647996172e-09,1.0,143,33839,,
5.364417354769557e-09,1.0,144,34074,,
5.257129398472671e-09,1.0,145,34309,,
5.1180517601778774e-09,1.0,146,34544,,
5.074341391519965e-09,1.0,147,34779,,
5.03857888745074e-09,1.0,148,35014,,
4.978974121883084e-09,1.0,149,35249,,
4.947184883974387e-09,1.0,150,35484,,
4.89155382865647e-09,1.0,151,35719,,
4.8478439040877674e-09,1.0,152,35954,,
4.820028376428809e-09,1.0,153,36189,,
4.831949507178024e-09,1.0,154,36424,,
4.804133979519065e-09,1.0,155,36659,,
4.812080955929332e-09,1.0,156,36894,,
4.784265872359583e-09,1.0,157,37129,,
4.788239138520112e-09,1.0,158,37364,,
4.772344741610368e-09,1.0,159,37599,,
4.728634817041666e-09,1.0,160,37834,,
4.748502924201148e-09,1.0,161,38069,,
4.7445292139514095e-09,1.0,162,38304,,
4.732608527291404e-09,1.0,163,38539,,
4.748502924201148e-09,1.0,164,38774,,
4.7246611067919275e-09,1.0,165,39009,,
4.740555503701671e-09,1.0,166,39244,,
4.788239138520112e-09,1.0,167,39479,,
4.7643973211108914e-09,1.0,168,39714,,
4.772344741610368e-09,1.0,169,39949,,
4.752476634450886e-09,1.0,170,40184,,
4.7961865590195885e-09,1.0,171,40419,,
4.831949507178024e-09,1.0,172,40654,,
4.7246611067919275e-09,1.0,173,40889,,
4.81605466617907e-09,1.0,174,41124,,
4.851817614337506e-09,1.0,175,41359,,
4.788239138520112e-09,1.0,176,41594,,
4.831949507178024e-09,1.0,177,41829,,
4.863738745086721e-09,1.0,178,42064,,
4.7961865590195885e-09,1.0,179,42299,,
4.8597650348369825e-09,1.0,180,42534,,
4.804133979519065e-09,1.0,181,42769,,
4.8478439040877674e-09,1.0,182,43004,,
4.927316776814905e-09,1.0,183,43239,,
4.9153960901549e-09,1.0,184,43474,,
4.951158594224125e-09,1.0,185,43709,,
4.8478439040877674e-09,1.0,186,43944,,
4.998842229042566e-09,1.0,187,44179,,
4.959106014723602e-09,1.0,188,44414,,
4.990895252632299e-09,1.0,189,44649,,
4.9630797249733405e-09,1.0,190,44884,,
4.975000411633346e-09,1.0,191,45119,,
4.998842229042566e-09,1.0,192,45354,,
5.0663944151096985e-09,1.0,193,45589,,
5.018710780291258e-09,1.0,194,45824,,
5.058446994610222e-09,1.0,195,46059,,
5.0465263079502165e-09,1.0,196,46294,,
5.058446994610222e-09,1.0,197,46529,,
5.110104339678401e-09,1.0,198,46764,,
5.106130629428662e-09,1.0,199,46999,,
,,200,47000,0.2831203043460846,0.9679999947547913
